,total time,mse train,mse test
0_0,83.15324473381042,3.3324690435301343,3.212653813794456
0_1,73.88354659080505,1.8568316159836191,1.785105352592124
0_2,77.59056973457336,3.031485718465876,2.9155120986048995
0_3,78.82620406150818,3.1230993013442703,3.005254398162531
1_0,275.0236129760742,4.831371273867096,4.652157406449415
1_1,275.08572912216187,2.1002215581156705,2.019486265574613
1_2,268.0203652381897,1.7710867394232104,1.7072450713223333
1_3,263.2325382232666,2.0161498513015625,1.9396685767718018
2_0,50.79112911224365,3.1543693192035636,3.0853865415907733
2_1,50.63661050796509,3.300182760393128,3.238418541843256
2_2,50.81321620941162,3.2333810565434105,3.154849092087059
2_3,55.26818823814392,3.171004493073532,3.0787419561737983
3_0,169.10141444206238,2.089293894093413,2.035618970314375
3_1,166.20837926864624,1.407774250543067,1.377285956363123
3_2,163.88919234275818,1.0817896396715567,1.0540661371339761
3_3,166.06762671470642,1.0131074865443968,0.9832296250453572
4_0,18.697566270828247,1.6508474004080058,1.6266946605396633
4_1,18.591137886047363,0.3671603480144427,0.3638072045366419
4_2,19.820625066757202,0.2324221394389181,0.2319966383080504
4_3,20.22216486930847,0.15752318225840473,0.15463727913304695
5_0,137.31948685646057,1.6455863840603981,1.625596513483976
5_1,136.63933730125427,0.3671991047877041,0.3633537544212468
5_2,138.02730798721313,0.11287070235115419,0.11041183404363741
5_3,138.95687913894653,0.10117182521260129,0.09904727074394477
6_0,18.622629642486572,1.6935570934907298,1.66881568157393
6_1,18.756741285324097,0.3912815743038442,0.3795203910590141
6_2,20.00392246246338,0.38623705236880784,0.38814928582569924
6_3,20.352880239486694,0.2544737585704348,0.2524971731672949
7_0,136.69887137413025,1.7043628395158144,1.67396987987166
7_1,136.84365558624268,0.39223299267235545,0.38113014795797245
7_2,138.91638898849487,0.1252451586899618,0.12248625675255086
7_3,137.19363617897034,0.11329026971372443,0.11078705692395112
