,total time,mse train,mse test
0_0,78.45187783241272,3.3738646567798702,3.377304194407629
0_1,77.89435935020447,1.8654210435250984,1.8703267644952664
0_2,99.30105400085449,3.1589932320716043,3.1575296108743087
0_3,104.25005030632019,3.174908006106198,3.173481258458548
1_0,324.7174105644226,4.117698941040277,4.111274624904368
1_1,357.28973412513733,1.9005003320228988,1.8993136262782837
1_2,366.75595474243164,1.8538368208469769,1.8500429015711561
1_3,346.9552631378174,2.0691872042780997,2.066263526397681
2_0,286.6748700141907,3.1661789222232617,3.1718718413483353
2_1,280.98386693000793,3.2905813025705375,3.297431761073038
2_2,304.3061013221741,3.2110090743664683,3.2053674779743275
2_3,303.11910104751587,3.15393011540083,3.145221155655448
3_0,389.21797490119934,1.8302203994161856,1.8324515552306524
3_1,388.91011905670166,0.8577322336298225,0.8592053819342708
3_2,408.7630455493927,0.7583578607158287,0.7526763380311356
3_3,448.5006756782532,0.7562589365414402,0.7506282075466219
4_0,56.849456548690796,1.487098541573396,1.4899227662339707
4_1,64.2622127532959,0.32606745081896266,0.3309699166252411
4_2,84.05131077766418,0.22727945720966947,0.22624163325722554
4_3,96.24389052391052,0.1538654604184499,0.15318208978868877
5_0,176.0463089942932,1.4997858663589514,1.503802658478903
5_1,177.61083340644836,0.32794426606768773,0.33325545669266865
5_2,202.60101699829102,0.10827526154276984,0.10724054000066822
5_3,210.28063368797302,0.09922395451237498,0.09854349350893805
6_0,58.137988805770874,1.4831429735639394,1.4854313296134907
6_1,59.43507933616638,0.3227817220072867,0.3243632104816795
6_2,79.61838126182556,0.3854735125685798,0.3849161798685633
6_3,86.28426456451416,0.2506772111123963,0.25019748473510484
7_0,170.42673993110657,1.482165127656981,1.483134493455632
7_1,175.6341676712036,0.3231761291554493,0.3243061840939863
7_2,203.86318492889404,0.12443327093333227,0.12337436634039514
7_3,217.55204916000366,0.11089506019591477,0.1098087329248239
